Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,,,,,,,,,,
2017-12-04,58.32,58.34,57.35,57.44,0.89,57.47,527029,534868,,,,,,,,,,
2017-12-01,57.42,58.88,57.29,58.29,0.96,58.36,673392,539699,,,,,,,,,,
2017-11-30,57.41,57.98,56.82,57.42,0.1,57.4,732304,543363,,,,,,,,,,
2017-11-29,57.73,58.3,56.75,57.39,0.69,57.3,736914,548443,,,,,,,,,,
2017-11-28,57.86,58.11,57.42,57.75,0.12,57.99,538993,556293,,,,,,,,,,
2017-11-27,58.95,58.99,57.55,57.85,0.84,58.11,686033,576294,,,,,,,,,,
2017-11-24,58.05,59.05,57.75,58.97,0.93,58.95,574132,577680,,,,,,,,,,
2017-11-22,57.12,58.15,57.03,58.06,1.19,58.02,832366,592315,,,,,,,,,,
2017-11-21,56.38,57.22,56.32,57.09,0.41,56.83,617493,596888,,,,,,,,,,
2017-11-20,56.69,56.76,55.57,56.23,0.46,56.09,26588,29051,,,,,,,,,,
2017-11-17,55.25,56.68,55.18,56.68,1.41,56.55,173275,91396,,,,,,,,,,
2017-11-16,55.3,55.62,54.93,55.26,0.19,55.14,209336,128823,,,,,,,,,,
2017-11-15,55.06,55.56,54.88,55.31,0.37,55.33,484525,240083,,,,,,,,,,
2017-11-14,56.72,56.77,54.81,55,1.06,55.7,682925,306712,,,,,,,,,,s
2017-11-13,56.9,57.15,56.3,56.73,0.02,56.76,607388,364546,,,,,,,,,,
2017-11-10,57.02,57.35,56.55,56.9,0.43,56.74,531787,404002,,,,,,,,,,
2017-11-09,56.85,57.53,56.69,57.03,0.36,57.17,648602,424295,,,,,,,,,,
2017-11-08,56.96,57.92,56.41,56.82,0.39,56.81,893074,473708,,,,,,,,,,
2017-11-07,57.27,57.69,56.83,56.94,0.15,57.2,731121,523646,,,,,,,,,,
2017-11-06,55.97,57.61,55.66,57.24,1.71,57.35,840014,540082,,,,,,,,,,
2017-11-03,54.73,55.76,54.4,55.7,1.1,55.64,606040,552399,,,,,,,,,,
2017-11-02,54.28,54.84,53.99,54.74,0.24,54.54,479276,560089,,,,,,,,,,
2017-11-01,54.65,55.22,53.89,54.27,0.08,54.3,664481,577849,,,,,,,,,,
2017-10-31,54.08,54.85,53.93,54.64,0.23,54.38,489779,585325,,,,,,,,,,
